evaluation,outer_group,regressor,feature_block,n_test,selected_params,sum_absolute_error,sum_squared_error,sum_observed,sum_observed_squared,mae,rmse,median_absolute_error,r2,analysis_block
LOSFO,local_overlap,HGBR,Y1_VALIDITY_DELTA_CLEAN_REFERENCE,600,"{""l2_regularization"": 0.0, ""learning_rate"": 0.05, ""max_iter"": 150, ""max_leaf_nodes"": 7}",44.613697116118345,10.760978540223977,39.7308657874755,10.873920507765408,0.07435616186019724,0.13392148533266285,0.021790937625956307,-0.30546590545144703,Y1_VALIDITY_DELTA_CLEAN_REFERENCE
LOSFO,location,HGBR,Y1_VALIDITY_DELTA_CLEAN_REFERENCE,600,"{""l2_regularization"": 0.0, ""learning_rate"": 0.05, ""max_iter"": 150, ""max_leaf_nodes"": 7}",17.87457760650879,1.5473073582019554,4.063452377908567,1.7153166542060863,0.02979096267751465,0.050782335481969115,0.013509417481112498,0.08323860443942022,Y1_VALIDITY_DELTA_CLEAN_REFERENCE
LOSFO,mcar,HGBR,Y1_VALIDITY_DELTA_CLEAN_REFERENCE,600,"{""l2_regularization"": 0.0, ""learning_rate"": 0.05, ""max_iter"": 150, ""max_leaf_nodes"": 7}",50.73300576515351,9.347976003061182,23.12573444084005,3.3828810345865366,0.08455500960858918,0.12481971000247505,0.05004495842597425,-2.75187416882123,Y1_VALIDITY_DELTA_CLEAN_REFERENCE
LOSFO,measurement_noise,HGBR,Y1_VALIDITY_DELTA_CLEAN_REFERENCE,600,"{""l2_regularization"": 1.0, ""learning_rate"": 0.05, ""max_iter"": 150, ""max_leaf_nodes"": 7}",11.689688519409158,0.667920675829884,-0.4441569790832465,0.36303184697913404,0.019482814199015264,0.03336466883371001,0.011217859803443362,-0.8415082733446422,Y1_VALIDITY_DELTA_CLEAN_REFERENCE
LOSFO,outliers,HGBR,Y1_VALIDITY_DELTA_CLEAN_REFERENCE,600,"{""l2_regularization"": 1.0, ""learning_rate"": 0.05, ""max_iter"": 150, ""max_leaf_nodes"": 7}",25.53951325436257,2.0586887314206606,21.84487286137145,2.25634399729539,0.04256585542393762,0.05857600093639972,0.028466055399621493,-0.4090828970749518,Y1_VALIDITY_DELTA_CLEAN_REFERENCE
LOSFO,scale,HGBR,Y1_VALIDITY_DELTA_CLEAN_REFERENCE,600,"{""l2_regularization"": 1.0, ""learning_rate"": 0.05, ""max_iter"": 150, ""max_leaf_nodes"": 7}",12.321065902101406,0.6115812513290801,-4.6624683425164015,0.6833812466709288,0.020535109836835676,0.03192651070111588,0.013587325205431804,0.05496247297796453,Y1_VALIDITY_DELTA_CLEAN_REFERENCE
LODO,breast_cancer_wisconsin_diagnostic,HGBR,Y1_P4_DH_SOURCE_RELATIVE,350,"{""l2_regularization"": 0.0, ""learning_rate"": 0.05, ""max_iter"": 150, ""max_leaf_nodes"": 7}",32.748927158089415,7.535382390613768,24.81335685233106,8.150560022424632,0.0935683633088269,0.1467299014283803,0.06002630981293601,-0.17898600852097046,Y1_P4_DH_SOURCE_RELATIVE
LODO,glass,HGBR,Y1_P4_DH_SOURCE_RELATIVE,350,"{""l2_regularization"": 1.0, ""learning_rate"": 0.05, ""max_iter"": 150, ""max_leaf_nodes"": 7}",17.109862945391455,1.3386132763475183,-0.7049288416137435,0.6535526340045998,0.04888532270111844,0.061843426174435945,0.03974971980338325,-1.0526696024157691,Y1_P4_DH_SOURCE_RELATIVE
LODO,human_activity_recognition,HGBR,Y1_P4_DH_SOURCE_RELATIVE,350,"{""l2_regularization"": 1.0, ""learning_rate"": 0.05, ""max_iter"": 150, ""max_leaf_nodes"": 7}",9.091752310116012,0.43088053506505053,3.0494074803812907,0.15744073527306915,0.025976435171760036,0.035086852851787684,0.02104700116991961,-2.2923690558862515,Y1_P4_DH_SOURCE_RELATIVE
LODO,iris,HGBR,Y1_P4_DH_SOURCE_RELATIVE,350,"{""l2_regularization"": 1.0, ""learning_rate"": 0.05, ""max_iter"": 150, ""max_leaf_nodes"": 7}",40.00462722969237,7.535282963596997,18.139173136831104,7.766071331845114,0.1142989349419782,0.14672893339757984,0.07741669759221557,-0.103911161076232,Y1_P4_DH_SOURCE_RELATIVE
LODO,letter_recognition,HGBR,Y1_P4_DH_SOURCE_RELATIVE,350,"{""l2_regularization"": 1.0, ""learning_rate"": 0.05, ""max_iter"": 150, ""max_leaf_nodes"": 7}",10.634465297756385,0.47338543131737953,3.1497756447364464,0.24080136176269423,0.030384186565018245,0.03677675629747601,0.027682672573306807,-1.2281637994940349,Y1_P4_DH_SOURCE_RELATIVE
LODO,madelon,HGBR,Y1_P4_DH_SOURCE_RELATIVE,350,"{""l2_regularization"": 1.0, ""learning_rate"": 0.05, ""max_iter"": 150, ""max_leaf_nodes"": 7}",17.97197226194559,1.2666347878886741,1.5764049038391699,0.026220487957843482,0.051348492176987406,0.06015776372858937,0.04208803801370944,-65.24541761239149,Y1_P4_DH_SOURCE_RELATIVE
LODO,mice_protein_expression,HGBR,Y1_P4_DH_SOURCE_RELATIVE,350,"{""l2_regularization"": 1.0, ""learning_rate"": 0.05, ""max_iter"": 150, ""max_leaf_nodes"": 7}",7.459904056429201,0.3351516525033166,0.7908115021968756,0.3241835225046412,0.021314011589797715,0.03094472733777882,0.014770729993625688,-0.03956286624489769,Y1_P4_DH_SOURCE_RELATIVE
LODO,pendigits,HGBR,Y1_P4_DH_SOURCE_RELATIVE,350,"{""l2_regularization"": 0.0, ""learning_rate"": 0.05, ""max_iter"": 150, ""max_leaf_nodes"": 7}",17.993016983008093,1.883926063008579,11.82742029042193,2.2932764190565402,0.0514086199514517,0.07336651752884435,0.030689388159810725,0.0051070668584913825,Y1_P4_DH_SOURCE_RELATIVE
LODO,satimage,HGBR,Y1_P4_DH_SOURCE_RELATIVE,350,"{""l2_regularization"": 0.0, ""learning_rate"": 0.05, ""max_iter"": 150, ""max_leaf_nodes"": 7}",12.9699640310143,0.8811282385544417,13.371230849515484,1.3156907561028328,0.037057040088612284,0.05017478702508552,0.028574393051965047,-0.09475594070142823,Y1_P4_DH_SOURCE_RELATIVE
LODO,sonar,HGBR,Y1_P4_DH_SOURCE_RELATIVE,350,"{""l2_regularization"": 0.0, ""learning_rate"": 0.05, ""max_iter"": 150, ""max_leaf_nodes"": 7}",22.169901954967656,2.7313835492856264,-5.302399587978038,0.8418003893897215,0.06334257701419331,0.08833998527257593,0.04669920000234163,-2.586985110234493,Y1_P4_DH_SOURCE_RELATIVE
LODO,spambase,HGBR,Y1_P4_DH_SOURCE_RELATIVE,350,"{""l2_regularization"": 1.0, ""learning_rate"": 0.05, ""max_iter"": 150, ""max_leaf_nodes"": 7}",18.71320447244511,2.3593331394558197,10.472972957680964,2.192582753649192,0.053466298492700313,0.08210329973281602,0.03260275826843649,-0.25549716125259825,Y1_P4_DH_SOURCE_RELATIVE
LODO,waveform,HGBR,Y1_P4_DH_SOURCE_RELATIVE,350,"{""l2_regularization"": 1.0, ""learning_rate"": 0.05, ""max_iter"": 150, ""max_leaf_nodes"": 7}",7.167227278934461,0.27219362038484496,0.6403875566110456,0.0627841230158548,0.020477792225527033,0.02788720240975086,0.013236942664683391,-3.417836898700158,Y1_P4_DH_SOURCE_RELATIVE
LOSFO,class_prevalence,HGBR,Y1_P4_DH_SOURCE_RELATIVE,600,"{""l2_regularization"": 1.0, ""learning_rate"": 0.05, ""max_iter"": 150, ""max_leaf_nodes"": 7}",42.0183745248288,5.665222594335079,-1.8346874010423306,4.750089249483254,0.070030624208048,0.09717014797367107,0.04821090599369533,-0.1940662929237602,Y1_P4_DH_SOURCE_RELATIVE
LOSFO,local_overlap,HGBR,Y1_P4_DH_SOURCE_RELATIVE,600,"{""l2_regularization"": 1.0, ""learning_rate"": 0.05, ""max_iter"": 150, ""max_leaf_nodes"": 7}",39.299506385265765,9.909357173881505,39.7308657874755,10.873920507765408,0.06549917730877627,0.12851301603262802,0.014700959802671923,-0.20215163398827452,Y1_P4_DH_SOURCE_RELATIVE
LOSFO,location,HGBR,Y1_P4_DH_SOURCE_RELATIVE,600,"{""l2_regularization"": 1.0, ""learning_rate"": 0.05, ""max_iter"": 150, ""max_leaf_nodes"": 7}",25.334484306563947,2.4465386345368674,4.063452377908567,1.7153166542060863,0.042224140510939916,0.06385580937467458,0.028794347246992966,-0.4495453414615962,Y1_P4_DH_SOURCE_RELATIVE
LOSFO,mcar,HGBR,Y1_P4_DH_SOURCE_RELATIVE,600,"{""l2_regularization"": 1.0, ""learning_rate"": 0.05, ""max_iter"": 150, ""max_leaf_nodes"": 7}",27.76293160334596,3.121406800433617,23.12573444084005,3.3828810345865366,0.04627155267224327,0.07212728102035569,0.024788266409331836,-0.2527979897567951,Y1_P4_DH_SOURCE_RELATIVE
LOSFO,measurement_noise,HGBR,Y1_P4_DH_SOURCE_RELATIVE,600,"{""l2_regularization"": 1.0, ""learning_rate"": 0.05, ""max_iter"": 150, ""max_leaf_nodes"": 7}",19.125115891632305,1.7659651710760793,-0.4441569790832465,0.36303184697913404,0.031875193152720506,0.05425196111779554,0.016450165000640202,-3.868900740248029,Y1_P4_DH_SOURCE_RELATIVE
LOSFO,outliers,HGBR,Y1_P4_DH_SOURCE_RELATIVE,600,"{""l2_regularization"": 1.0, ""learning_rate"": 0.05, ""max_iter"": 150, ""max_leaf_nodes"": 7}",22.345254656879227,2.0863607718897055,21.84487286137145,2.25634399729539,0.03724209109479871,0.058968364002654074,0.02069951916574206,-0.42802320522206516,Y1_P4_DH_SOURCE_RELATIVE
LOSFO,scale,HGBR,Y1_P4_DH_SOURCE_RELATIVE,600,"{""l2_regularization"": 0.0, ""learning_rate"": 0.05, ""max_iter"": 150, ""max_leaf_nodes"": 7}",23.175949431496708,1.890121938347106,-4.6624683425164015,0.6833812466709288,0.03862658238582785,0.05612667129430098,0.0252496291580872,-1.9206849596906723,Y1_P4_DH_SOURCE_RELATIVE
