dataset,heldout_outer_fold,feature_block,n_train,n_test,grouping,selected_params,mae,rmse,median_absolute_error,r2
breast_cancer_wisconsin_diagnostic,3,P3,280,70,outer fold held out; inner GroupKFold on outer_fold|condition keeps all seeds of a scenario together,"{""l2_regularization"": 1.0, ""learning_rate"": 0.1, ""max_iter"": 150, ""max_leaf_nodes"": 7}",0.07318475957209385,0.08949575270402371,0.06441738674070313,0.22096193813062703
breast_cancer_wisconsin_diagnostic,4,P3,280,70,outer fold held out; inner GroupKFold on outer_fold|condition keeps all seeds of a scenario together,"{""l2_regularization"": 0.0, ""learning_rate"": 0.05, ""max_iter"": 300, ""max_leaf_nodes"": 7}",0.095222451135897,0.12395647281253967,0.05695820224142145,0.1881568772023039
breast_cancer_wisconsin_diagnostic,0,P4,280,70,outer fold held out; inner GroupKFold on outer_fold|condition keeps all seeds of a scenario together,"{""l2_regularization"": 1.0, ""learning_rate"": 0.05, ""max_iter"": 300, ""max_leaf_nodes"": 15}",0.0914312193313044,0.12984044123697566,0.029231695634272026,-0.9063901545728257
breast_cancer_wisconsin_diagnostic,1,P4,280,70,outer fold held out; inner GroupKFold on outer_fold|condition keeps all seeds of a scenario together,"{""l2_regularization"": 0.0, ""learning_rate"": 0.1, ""max_iter"": 300, ""max_leaf_nodes"": 7}",0.12374582628581039,0.18797059933889904,0.06643374851510798,-0.5999757427676491
breast_cancer_wisconsin_diagnostic,2,P4,280,70,outer fold held out; inner GroupKFold on outer_fold|condition keeps all seeds of a scenario together,"{""l2_regularization"": 0.0, ""learning_rate"": 0.05, ""max_iter"": 150, ""max_leaf_nodes"": 15}",0.09670813141890289,0.12593941208579842,0.07809601108143358,0.4214557358055848
breast_cancer_wisconsin_diagnostic,3,P4,280,70,outer fold held out; inner GroupKFold on outer_fold|condition keeps all seeds of a scenario together,"{""l2_regularization"": 1.0, ""learning_rate"": 0.05, ""max_iter"": 150, ""max_leaf_nodes"": 7}",0.07982234712430636,0.09853450561343668,0.09299795533186286,0.055655379911906167
breast_cancer_wisconsin_diagnostic,4,P4,280,70,outer fold held out; inner GroupKFold on outer_fold|condition keeps all seeds of a scenario together,"{""l2_regularization"": 1.0, ""learning_rate"": 0.05, ""max_iter"": 150, ""max_leaf_nodes"": 15}",0.11153773203562824,0.17682608052740698,0.04587227749121586,-0.6520619835061603
glass,0,B0_median,280,70,outer fold held out; inner GroupKFold on outer_fold|condition keeps all seeds of a scenario together,"{""constant"": 3.8960502907622874e-05}",0.02651597037299841,0.03419931280812225,0.01944533711878288,-0.001752413801946906
glass,1,B0_median,280,70,outer fold held out; inner GroupKFold on outer_fold|condition keeps all seeds of a scenario together,"{""constant"": 0.0}",0.024013594882886746,0.031934924091562254,0.0209206279501919,-0.009749690630960206
glass,2,B0_median,280,70,outer fold held out; inner GroupKFold on outer_fold|condition keeps all seeds of a scenario together,"{""constant"": 0.0}",0.029441370180272694,0.047335309036523304,0.016356085165166,-0.02507867297991062
glass,3,B0_median,280,70,outer fold held out; inner GroupKFold on outer_fold|condition keeps all seeds of a scenario together,"{""constant"": 0.0}",0.045025308444135645,0.0536780764794154,0.04186162764420395,-0.02686090422321974
glass,4,B0_median,280,70,outer fold held out; inner GroupKFold on outer_fold|condition keeps all seeds of a scenario together,"{""constant"": 0.0}",0.03159847533940565,0.04500195985117338,0.0196450446220204,-0.009078536231363232
glass,0,P0,280,70,outer fold held out; inner GroupKFold on outer_fold|condition keeps all seeds of a scenario together,"{""l2_regularization"": 1.0, ""learning_rate"": 0.05, ""max_iter"": 150, ""max_leaf_nodes"": 7}",0.03169516645786189,0.0410753769582881,0.021751201676500027,-0.4450695637926081
glass,1,P0,280,70,outer fold held out; inner GroupKFold on outer_fold|condition keeps all seeds of a scenario together,"{""l2_regularization"": 1.0, ""learning_rate"": 0.05, ""max_iter"": 150, ""max_leaf_nodes"": 7}",0.02073538907223425,0.028966856924533577,0.012128649513702659,0.16922254804899983
glass,2,P0,280,70,outer fold held out; inner GroupKFold on outer_fold|condition keeps all seeds of a scenario together,"{""l2_regularization"": 1.0, ""learning_rate"": 0.05, ""max_iter"": 150, ""max_leaf_nodes"": 7}",0.034374480281844665,0.05097383970315764,0.021796701594116313,-0.1887251798769083
glass,3,P0,280,70,outer fold held out; inner GroupKFold on outer_fold|condition keeps all seeds of a scenario together,"{""l2_regularization"": 1.0, ""learning_rate"": 0.05, ""max_iter"": 150, ""max_leaf_nodes"": 7}",0.0403473175655906,0.04859661718888401,0.03862184584787642,0.15835333313977373
glass,4,P0,280,70,outer fold held out; inner GroupKFold on outer_fold|condition keeps all seeds of a scenario together,"{""l2_regularization"": 1.0, ""learning_rate"": 0.05, ""max_iter"": 150, ""max_leaf_nodes"": 7}",0.03870125886313324,0.04628264929337738,0.02942813461059529,-0.06732955194229717
glass,0,P2,280,70,outer fold held out; inner GroupKFold on outer_fold|condition keeps all seeds of a scenario together,"{""l2_regularization"": 1.0, ""learning_rate"": 0.05, ""max_iter"": 150, ""max_leaf_nodes"": 7}",0.031385512501150216,0.03771497148767376,0.030311754771993004,-0.21829708739693277
glass,1,P2,280,70,outer fold held out; inner GroupKFold on outer_fold|condition keeps all seeds of a scenario together,"{""l2_regularization"": 0.0, ""learning_rate"": 0.05, ""max_iter"": 150, ""max_leaf_nodes"": 7}",0.026043250808092885,0.033637953844513575,0.023514377008094528,-0.12031743062690992
glass,2,P2,280,70,outer fold held out; inner GroupKFold on outer_fold|condition keeps all seeds of a scenario together,"{""l2_regularization"": 1.0, ""learning_rate"": 0.05, ""max_iter"": 150, ""max_leaf_nodes"": 15}",0.035593598478377654,0.0515077777704528,0.026797859216330475,-0.21375879787313212
