evaluation,feature_block,n,mae,rmse,median_absolute_error,r2
LODO,B0_mean,4200,0.042690496284289725,0.07384264771469114,0.021462204929889366,-0.020980064210722293
LODO,B0_median,4200,0.03800816450584381,0.07503900698423331,0.012063671466526925,-0.05433080977308857
LOSFO,B0_mean,4200,0.043155092392299726,0.07470504188109375,0.022852158256676896,-0.04496698233844376
LOSFO,B0_median,4200,0.03828430779781614,0.07528343870244603,0.01180917688339805,-0.06121074159894446
