comparison,n_units,sample_mean,sample_median,mean_ci_lower,mean_ci_upper,median_ci_lower,median_ci_upper
lodo_delta_04,12,-0.004190041104955801,-0.00019196312269489924,-0.011854403405159832,0.0024365487075054693,-0.0080497115756608,0.0026116510943690954
lodo_delta_34,12,0.013031172158682729,0.0101481517387731,0.002950967679446085,0.023305587344546307,0.00270161986976015,0.0226123024266374
losfo_delta_04,7,0.0015734133975765844,0.0009792220450517974,-0.0006775425946786587,0.00389981492084153,-0.0010631031775540992,0.004930398248417095
losfo_delta_34,7,-0.002941897986678773,-0.004827826452666002,-0.006420026767533188,0.0007181307643526282,-0.007467400856099302,0.0012163964480272002
