shift_family,P0,P3,P4,B0_mean,B0_median,delta_ari_mean_mild,delta_ari_mean_severe,delta_ari_median_mild,delta_ari_median_severe,delta_ari_std_mild,delta_ari_std_severe,signal_D_U_R_mild,signal_D_U_R_severe,signal_D_U_C_mild,signal_D_U_C_severe,signal_D_V_mild,signal_D_V_severe,signal_D_H_mild,signal_D_H_severe,signal_D_M_mild,signal_D_M_severe,signal_D_X_mild,signal_D_X_severe,delta04,delta34
location,0.0382163933076069,0.0336918754428314,0.0411592762989307,0.03551000496466919,0.02907751039212009,-0.002597287205115636,0.01614212846481086,0.0,0.0072927518799394495,0.04278497060297141,0.06031652384033561,0.18025797999999998,0.20638492,0.18361196500000002,0.21875246133333334,0.8294733313333333,1.1587624313333333,0.05230421666666667,0.102005106,0.035908876666666666,0.046915991,0.034183935,0.11260494166666668,-0.0029428829913238017,-0.007467400856099302
scale,0.0385190393370609,0.0287608146359778,0.0335886410886438,0.03390973827143006,0.018719865474808684,-0.006980233504889699,-0.00856132763683164,-0.0006321461521981,-0.001700461801675,0.02968712659601873,0.035802268630668196,0.18330040933333333,0.22666129533333332,0.17021732666666667,0.18786147266666667,0.8133504213333334,1.3363050449999998,0.05870946933333333,0.10788894833333333,0.031607699,0.03505189366666667,0.02033351833333333,0.10508453666666667,0.004930398248417095,-0.004827826452666002
mcar,0.0452505413632033,0.0370823877869027,0.0460112076678973,0.04267451316991372,0.044434949963408535,0.01153130880256491,0.06555447266690193,0.0030890853169293,0.0432208809607908,0.026315753187926682,0.0785893586986171,0.1759462873333333,0.18607887566666667,0.17516135266666666,0.18915265233333334,0.6053096536666667,0.6739518673333333,0.03902315666666666,0.036320085,0.035032480666666664,0.041055748,0.0070513016666666675,0.011875683333333333,-0.0007606663046939993,-0.008928819880994601
outliers,0.0364647657588673,0.0387442653844486,0.0375278689364214,0.032456609044809626,0.03701572450147078,0.02016588260161506,0.05265036026962311,0.01021847319558375,0.032739749299203647,0.033526620609178624,0.056858704397306746,0.30310705233333335,0.3914714346666667,0.28878816133333335,0.3682406796666667,3.5570206963333333,5.587562911333333,0.08653467666666667,0.139923585,0.12132600566666668,0.18048833766666667,0.008300205,0.019073933333333334,-0.0010631031775540992,0.0012163964480272002
measurement_noise,0.0393586565903594,0.0389242934101617,0.0336514281541972,0.026606289957611395,0.011890910264151365,-0.003438482254766396,0.0019579589911555744,0.0,0.0012731744018072,0.017683345935336072,0.02976144290057636,0.17156460533333331,0.17976529933333335,0.16750839033333334,0.175742601,0.6043971043333334,0.6244720516666666,0.038614338,0.04089592433333333,0.029919067,0.035098780999999996,0.006719586666666667,0.007315301666666666,0.005707228436162198,0.005272865255964501
class_prevalence,0.0684624743986076,0.0613376014892596,0.0674832523535558,0.06485425881218783,0.059764181823851244,-0.003344200141600604,-0.0027714245285404985,-0.0039408901945993,0.0026016805609998,0.08277347424521263,0.09495372830846516,0.18510552833333332,0.20302992833333333,0.19475760566666667,0.23226232733333332,0.7105442243333333,0.7832294113333333,0.057313611666666674,0.06032888366666667,0.03961584633333333,0.055133934999999995,0.015450206666666666,0.030880644999999998,0.0009792220450517974,-0.0061456508642962066
local_overlap,0.0684297886405649,0.064553241556901,0.064266091113588,0.06607423252547626,0.06708701216490232,0.029009401644992022,0.10342681764659299,0.0033895303351012497,0.01527695777576515,0.04636682506636957,0.15046761062732428,0.19348537,0.20132393899999998,0.19143031200000002,0.20217481399999998,0.6646475773333332,0.6731856776666667,0.050902491333333334,0.05224421433333333,0.047894573333333336,0.05420869066666667,0.00656585,0.006899113333333333,0.0041636975269769005,0.00028715044331299733
