evaluation,outer_group,regressor,feature_block,n_test,selected_params,mae,rmse,median_absolute_error,r2,P0,P3,P4,delta_04,delta_34,sensitivity,sum_absolute_error,sum_squared_error,sum_observed,sum_observed_squared
LODO,breast_cancer_wisconsin_diagnostic,HGBR,P0,350,"{""l2_regularization"": 1.0, ""learning_rate"": 0.05, ""max_iter"": 150, ""max_leaf_nodes"": 7}",0.0910328379055074,0.1474746789256352,0.0534580301482537,-0.1909850726877033,0.0910328379055074,0.0988845112344852,0.0876893026919653,0.003343535213542,0.0111952085425199,S0_all_original_rows,,,,
LODO,glass,HGBR,P0,350,"{""l2_regularization"": 0.0, ""learning_rate"": 0.05, ""max_iter"": 150, ""max_leaf_nodes"": 7}",0.0421116218371742,0.0548728111835842,0.0370151848405582,-0.6160187203627157,0.0421116218371742,0.0844480047822226,0.0436407957801225,-0.0015291739429482,0.0408072090021001,S0_all_original_rows,,,,
LODO,human_activity_recognition,HGBR,P0,350,"{""l2_regularization"": 1.0, ""learning_rate"": 0.05, ""max_iter"": 150, ""max_leaf_nodes"": 7}",0.0338796671065022,0.0450601103962773,0.0274420522388014,-4.430054431080139,0.0338796671065022,0.0233528270264006,0.0242135508149728,0.0096661162915293,-0.0008607237885722,S0_all_original_rows,,,,
LODO,iris,HGBR,P0,350,"{""l2_regularization"": 1.0, ""learning_rate"": 0.05, ""max_iter"": 150, ""max_leaf_nodes"": 7}",0.1161985898216668,0.1493348162048343,0.0938504317183675,-0.1434699255366243,0.1161985898216668,0.1219878029553337,0.1152960949734225,0.0009024948482442,0.0066917079819111,S0_all_original_rows,,,,
LODO,letter_recognition,HGBR,P0,350,"{""l2_regularization"": 1.0, ""learning_rate"": 0.05, ""max_iter"": 150, ""max_leaf_nodes"": 7}",0.0247592874453245,0.0413883002674842,0.0166193045367068,-1.8219898841006568,0.0247592874453245,0.0636210043379354,0.0393295366536978,-0.0145702492083733,0.0242914676842375,S0_all_original_rows,,,,
LODO,madelon,HGBR,P0,350,"{""l2_regularization"": 1.0, ""learning_rate"": 0.05, ""max_iter"": 150, ""max_leaf_nodes"": 7}",0.0193571289701171,0.0233909361036992,0.0188197679272754,-9.015385726435584,0.0193571289701171,0.0750592992643681,0.0541261620953309,-0.0347690331252138,0.0209331371690372,S0_all_original_rows,,,,
LODO,mice_protein_expression,HGBR,P0,350,"{""l2_regularization"": 0.0, ""learning_rate"": 0.05, ""max_iter"": 150, ""max_leaf_nodes"": 7}",0.0329183412591549,0.0432965006331146,0.0258174903744011,-1.0350872361396637,0.0329183412591549,0.0235256478966395,0.0232418591581649,0.00967648210099,0.0002837887384745,S0_all_original_rows,,,,
LODO,pendigits,HGBR,P0,350,"{""l2_regularization"": 1.0, ""learning_rate"": 0.05, ""max_iter"": 150, ""max_leaf_nodes"": 7}",0.0510202108044748,0.0738096571400279,0.028423455037603,-0.0069476945490587,0.0510202108044748,0.0561651383370121,0.0510456873359664,-2.5476531491597232e-05,0.0051194510010457,S0_all_original_rows,,,,
LODO,satimage,HGBR,P0,350,"{""l2_regularization"": 1.0, ""learning_rate"": 0.05, ""max_iter"": 150, ""max_leaf_nodes"": 7}",0.0364153262588132,0.0506973342957092,0.023826844560072,-0.1176774374318658,0.0364153262588132,0.0485031727491413,0.0345355592836171,0.001879766975196,0.0139676134655242,S0_all_original_rows,,,,
LODO,sonar,HGBR,P0,350,"{""l2_regularization"": 1.0, ""learning_rate"": 0.05, ""max_iter"": 150, ""max_leaf_nodes"": 7}",0.0382945250933007,0.0592667609128153,0.0293751471808667,-0.6144972660234349,0.0382945250933007,0.0392269700699301,0.0617028552162557,-0.023408330122955,-0.0224758851463256,S0_all_original_rows,,,,
LODO,spambase,HGBR,P0,350,"{""l2_regularization"": 0.0, ""learning_rate"": 0.05, ""max_iter"": 150, ""max_leaf_nodes"": 7}",0.049216149972926,0.0789754239159592,0.0283773647492756,-0.1616584156708083,0.049216149972926,0.0976243223362311,0.0503043260170173,-0.0010881760440913,0.0473199963192138,S0_all_original_rows,,,,
LODO,waveform,HGBR,P0,350,"{""l2_regularization"": 1.0, ""learning_rate"": 0.05, ""max_iter"": 150, ""max_leaf_nodes"": 7}",0.0252522752728171,0.0292516738389707,0.0255708073935285,-3.860726946845543,0.0252522752728171,0.0347118199217416,0.0256107249867153,-0.0003584497138982,0.0091010949350262,S0_all_original_rows,,,,
LODO,breast_cancer_wisconsin_diagnostic,HGBR,P3,350,"{""l2_regularization"": 0.0, ""learning_rate"": 0.05, ""max_iter"": 300, ""max_leaf_nodes"": 15}",0.0988845112344852,0.1546037906983517,0.0571391196390176,-0.3089156965022468,0.0910328379055074,0.0988845112344852,0.0876893026919653,0.003343535213542,0.0111952085425199,S0_all_original_rows,,,,
LODO,glass,HGBR,P3,350,"{""l2_regularization"": 1.0, ""learning_rate"": 0.1, ""max_iter"": 300, ""max_leaf_nodes"": 15}",0.0844480047822226,0.1011079624937682,0.0824780536106604,-4.486592236702954,0.0421116218371742,0.0844480047822226,0.0436407957801225,-0.0015291739429482,0.0408072090021001,S0_all_original_rows,,,,
LODO,human_activity_recognition,HGBR,P3,350,"{""l2_regularization"": 1.0, ""learning_rate"": 0.05, ""max_iter"": 150, ""max_leaf_nodes"": 7}",0.0233528270264006,0.0293375474357202,0.0187901826211237,-1.301798431690275,0.0338796671065022,0.0233528270264006,0.0242135508149728,0.0096661162915293,-0.0008607237885722,S0_all_original_rows,,,,
LODO,iris,HGBR,P3,350,"{""l2_regularization"": 1.0, ""learning_rate"": 0.05, ""max_iter"": 150, ""max_leaf_nodes"": 7}",0.1219878029553337,0.152012055183135,0.1018166365799108,-0.1848371544343301,0.1161985898216668,0.1219878029553337,0.1152960949734225,0.0009024948482442,0.0066917079819111,S0_all_original_rows,,,,
LODO,letter_recognition,HGBR,P3,350,"{""l2_regularization"": 0.0, ""learning_rate"": 0.05, ""max_iter"": 150, ""max_leaf_nodes"": 15}",0.0636210043379354,0.0795244649893733,0.0651860364019492,-9.41841810565508,0.0247592874453245,0.0636210043379354,0.0393295366536978,-0.0145702492083733,0.0242914676842375,S0_all_original_rows,,,,
LODO,madelon,HGBR,P3,350,"{""l2_regularization"": 0.0, ""learning_rate"": 0.05, ""max_iter"": 150, ""max_leaf_nodes"": 7}",0.0750592992643681,0.079157987839433,0.0777434158153474,-113.69961684108203,0.0193571289701171,0.0750592992643681,0.0541261620953309,-0.0347690331252138,0.0209331371690372,S0_all_original_rows,,,,
LODO,mice_protein_expression,HGBR,P3,350,"{""l2_regularization"": 0.0, ""learning_rate"": 0.05, ""max_iter"": 150, ""max_leaf_nodes"": 7}",0.0235256478966395,0.0335073402306018,0.0154924349923926,-0.2188698882384681,0.0329183412591549,0.0235256478966395,0.0232418591581649,0.00967648210099,0.0002837887384745,S0_all_original_rows,,,,
LODO,pendigits,HGBR,P3,350,"{""l2_regularization"": 1.0, ""learning_rate"": 0.05, ""max_iter"": 150, ""max_leaf_nodes"": 7}",0.0561651383370121,0.0793635285062514,0.0357815465389294,-0.1641862689194493,0.0510202108044748,0.0561651383370121,0.0510456873359664,-2.5476531491597232e-05,0.0051194510010457,S0_all_original_rows,,,,
LODO,satimage,HGBR,P3,350,"{""l2_regularization"": 1.0, ""learning_rate"": 0.05, ""max_iter"": 150, ""max_leaf_nodes"": 15}",0.0485031727491413,0.0626543190482317,0.0362151028571828,-0.7070579466572167,0.0364153262588132,0.0485031727491413,0.0345355592836171,0.001879766975196,0.0139676134655242,S0_all_original_rows,,,,
LODO,sonar,HGBR,P3,350,"{""l2_regularization"": 1.0, ""learning_rate"": 0.05, ""max_iter"": 150, ""max_leaf_nodes"": 7}",0.0392269700699301,0.0596294893993691,0.0256843047923246,-0.6343200546929924,0.0382945250933007,0.0392269700699301,0.0617028552162557,-0.023408330122955,-0.0224758851463256,S0_all_original_rows,,,,
LODO,spambase,HGBR,P3,350,"{""l2_regularization"": 1.0, ""learning_rate"": 0.05, ""max_iter"": 150, ""max_leaf_nodes"": 7}",0.0976243223362311,0.1166413354099482,0.1008245069242196,-1.5339583831137733,0.049216149972926,0.0976243223362311,0.0503043260170173,-0.0010881760440913,0.0473199963192138,S0_all_original_rows,,,,
LODO,waveform,HGBR,P3,350,"{""l2_regularization"": 1.0, ""learning_rate"": 0.05, ""max_iter"": 150, ""max_leaf_nodes"": 7}",0.0347118199217416,0.0393083623008118,0.0337631816028335,-7.777476612038708,0.0252522752728171,0.0347118199217416,0.0256107249867153,-0.0003584497138982,0.0091010949350262,S0_all_original_rows,,,,
LODO,breast_cancer_wisconsin_diagnostic,HGBR,P4,350,"{""l2_regularization"": 0.0, ""learning_rate"": 0.05, ""max_iter"": 150, ""max_leaf_nodes"": 7}",0.0876893026919653,0.1377580655996619,0.0557641545889875,-0.0392151542870964,0.0910328379055074,0.0988845112344852,0.0876893026919653,0.003343535213542,0.0111952085425199,S0_all_original_rows,,,,
LODO,glass,HGBR,P4,350,"{""l2_regularization"": 1.0, ""learning_rate"": 0.05, ""max_iter"": 150, ""max_leaf_nodes"": 7}",0.0436407957801225,0.0566658948268379,0.032024864570668,-0.7233578619974004,0.0421116218371742,0.0844480047822226,0.0436407957801225,-0.0015291739429482,0.0408072090021001,S0_all_original_rows,,,,
LODO,human_activity_recognition,HGBR,P4,350,"{""l2_regularization"": 0.0, ""learning_rate"": 0.05, ""max_iter"": 150, ""max_leaf_nodes"": 7}",0.0242135508149728,0.0325218471214132,0.0176265866951819,-1.8285905629498265,0.0338796671065022,0.0233528270264006,0.0242135508149728,0.0096661162915293,-0.0008607237885722,S0_all_original_rows,,,,
LODO,iris,HGBR,P4,350,"{""l2_regularization"": 0.0, ""learning_rate"": 0.05, ""max_iter"": 150, ""max_leaf_nodes"": 7}",0.1152960949734225,0.1477988571721838,0.0798900065539134,-0.1200689421944478,0.1161985898216668,0.1219878029553337,0.1152960949734225,0.0009024948482442,0.0066917079819111,S0_all_original_rows,,,,
LODO,letter_recognition,HGBR,P4,350,"{""l2_regularization"": 1.0, ""learning_rate"": 0.05, ""max_iter"": 300, ""max_leaf_nodes"": 7}",0.0393295366536978,0.0480813861410437,0.0357217577181071,-2.8085023613594737,0.0247592874453245,0.0636210043379354,0.0393295366536978,-0.0145702492083733,0.0242914676842375,S0_all_original_rows,,,,
LODO,madelon,HGBR,P4,350,"{""l2_regularization"": 0.0, ""learning_rate"": 0.05, ""max_iter"": 150, ""max_leaf_nodes"": 7}",0.0541261620953309,0.0697312273851708,0.0433741439606601,-88.00760065267663,0.0193571289701171,0.0750592992643681,0.0541261620953309,-0.0347690331252138,0.0209331371690372,S0_all_original_rows,,,,
LODO,mice_protein_expression,HGBR,P4,350,"{""l2_regularization"": 0.0, ""learning_rate"": 0.05, ""max_iter"": 150, ""max_leaf_nodes"": 7}",0.0232418591581649,0.03352842060901,0.015811947748872,-0.2204040190151561,0.0329183412591549,0.0235256478966395,0.0232418591581649,0.00967648210099,0.0002837887384745,S0_all_original_rows,,,,
LODO,pendigits,HGBR,P4,350,"{""l2_regularization"": 1.0, ""learning_rate"": 0.05, ""max_iter"": 150, ""max_leaf_nodes"": 7}",0.0510456873359664,0.0724719842713999,0.0291394188274317,0.0292199544627226,0.0510202108044748,0.0561651383370121,0.0510456873359664,-2.5476531491597232e-05,0.0051194510010457,S0_all_original_rows,,,,
LODO,satimage,HGBR,P4,350,"{""l2_regularization"": 1.0, ""learning_rate"": 0.05, ""max_iter"": 150, ""max_leaf_nodes"": 7}",0.0345355592836171,0.0492835206064607,0.0195819471589515,-0.0562085626174551,0.0364153262588132,0.0485031727491413,0.0345355592836171,0.001879766975196,0.0139676134655242,S0_all_original_rows,,,,
LODO,sonar,HGBR,P4,350,"{""l2_regularization"": 1.0, ""learning_rate"": 0.05, ""max_iter"": 150, ""max_leaf_nodes"": 7}",0.0617028552162557,0.0871408336361473,0.040551275225808,-2.4902645762064743,0.0382945250933007,0.0392269700699301,0.0617028552162557,-0.023408330122955,-0.0224758851463256,S0_all_original_rows,,,,
LODO,spambase,HGBR,P4,350,"{""l2_regularization"": 1.0, ""learning_rate"": 0.05, ""max_iter"": 150, ""max_leaf_nodes"": 7}",0.0503043260170173,0.078898950342437,0.0301686622856869,-0.1594097880627669,0.049216149972926,0.0976243223362311,0.0503043260170173,-0.0010881760440913,0.0473199963192138,S0_all_original_rows,,,,
LODO,waveform,HGBR,P4,350,"{""l2_regularization"": 0.0, ""learning_rate"": 0.05, ""max_iter"": 150, ""max_leaf_nodes"": 7}",0.0256107249867153,0.0348551207611445,0.0172598068262465,-5.901332693003156,0.0252522752728171,0.0347118199217416,0.0256107249867153,-0.0003584497138982,0.0091010949350262,S0_all_original_rows,,,,
LOSFO,class_prevalence,HGBR,P0,600,"{""l2_regularization"": 0.0, ""learning_rate"": 0.05, ""max_iter"": 150, ""max_leaf_nodes"": 7}",0.0684624743986076,0.096367620888923,0.0468414425183998,-0.1744241829030686,0.0684624743986076,0.0613376014892596,0.0674832523535558,0.0009792220450517,-0.0061456508642962,S0_all_original_rows,,,,
LOSFO,local_overlap,HGBR,P0,600,"{""l2_regularization"": 1.0, ""learning_rate"": 0.05, ""max_iter"": 150, ""max_leaf_nodes"": 7}",0.0684297886405649,0.129906438426671,0.0199372846416422,-0.2283619954491147,0.0684297886405649,0.064553241556901,0.064266091113588,0.0041636975269769,0.0002871504433129,S0_all_original_rows,,,,
LOSFO,location,HGBR,P0,600,"{""l2_regularization"": 0.0, ""learning_rate"": 0.05, ""max_iter"": 150, ""max_leaf_nodes"": 7}",0.0382163933076069,0.0629678460549956,0.019607794356484,-0.4095115917716392,0.0382163933076069,0.0336918754428314,0.0411592762989307,-0.0029428829913238,-0.0074674008560993,S0_all_original_rows,,,,
LOSFO,mcar,HGBR,P0,600,"{""l2_regularization"": 1.0, ""learning_rate"": 0.05, ""max_iter"": 150, ""max_leaf_nodes"": 7}",0.0452505413632033,0.069165030395763,0.0277167451077799,-0.1520068733671,0.0452505413632033,0.0370823877869027,0.0460112076678973,-0.0007606663046939,-0.0089288198809946,S0_all_original_rows,,,,
LOSFO,measurement_noise,HGBR,P0,600,"{""l2_regularization"": 1.0, ""learning_rate"": 0.05, ""max_iter"": 150, ""max_leaf_nodes"": 7}",0.0393586565903594,0.0487225846126756,0.0294878507118338,-2.926997946954103,0.0393586565903594,0.0389242934101617,0.0336514281541972,0.0057072284361621,0.0052728652559645,S0_all_original_rows,,,,
LOSFO,outliers,HGBR,P0,600,"{""l2_regularization"": 0.0, ""learning_rate"": 0.05, ""max_iter"": 150, ""max_leaf_nodes"": 7}",0.0364647657588673,0.057639067762737,0.0209703095047186,-0.3643663597524638,0.0364647657588673,0.0387442653844486,0.0375278689364214,-0.001063103177554,0.0012163964480272,S0_all_original_rows,,,,
LOSFO,scale,HGBR,P0,600,"{""l2_regularization"": 0.0, ""learning_rate"": 0.05, ""max_iter"": 150, ""max_leaf_nodes"": 7}",0.0385190393370609,0.0524021683979838,0.030069054728196,-1.5459194476521263,0.0385190393370609,0.0287608146359778,0.0335886410886438,0.004930398248417,-0.004827826452666,S0_all_original_rows,,,,
LOSFO,class_prevalence,HGBR,P3,600,"{""l2_regularization"": 0.0, ""learning_rate"": 0.05, ""max_iter"": 150, ""max_leaf_nodes"": 7}",0.0613376014892596,0.0936022122917554,0.0345958019811374,-0.1079876957830696,0.0684624743986076,0.0613376014892596,0.0674832523535558,0.0009792220450517,-0.0061456508642962,S0_all_original_rows,,,,
LOSFO,local_overlap,HGBR,P3,600,"{""l2_regularization"": 1.0, ""learning_rate"": 0.05, ""max_iter"": 150, ""max_leaf_nodes"": 7}",0.064553241556901,0.1242729055522627,0.0163051517966533,-0.1241335869393052,0.0684297886405649,0.064553241556901,0.064266091113588,0.0041636975269769,0.0002871504433129,S0_all_original_rows,,,,
LOSFO,location,HGBR,P3,600,"{""l2_regularization"": 0.0, ""learning_rate"": 0.05, ""max_iter"": 150, ""max_leaf_nodes"": 7}",0.0336918754428314,0.0531570692159654,0.0184262456937961,-0.0045071522099819,0.0382163933076069,0.0336918754428314,0.0411592762989307,-0.0029428829913238,-0.0074674008560993,S0_all_original_rows,,,,
LOSFO,mcar,HGBR,P3,600,"{""l2_regularization"": 1.0, ""learning_rate"": 0.05, ""max_iter"": 150, ""max_leaf_nodes"": 7}",0.0370823877869027,0.056069211409233,0.0207982751609589,0.2429390908775613,0.0452505413632033,0.0370823877869027,0.0460112076678973,-0.0007606663046939,-0.0089288198809946,S0_all_original_rows,,,,
