scope,signal_a,signal_b,pearson,spearman
raw_cross_dataset,D_U_R,D_U_C,0.9635545892919261,0.9707522384548496
raw_cross_dataset,D_U_R,D_V,0.4221455437013947,0.6682212824313999
raw_cross_dataset,D_U_R,D_H,0.1838052574568653,0.3162400435256554
raw_cross_dataset,D_U_R,D_M,0.6901479834769174,0.8587504773596392
raw_cross_dataset,D_U_C,D_V,0.40717197197031885,0.6471768167740793
raw_cross_dataset,D_U_C,D_H,0.19301392728343436,0.3228076222048304
raw_cross_dataset,D_U_C,D_M,0.7407872239224346,0.8884745028262123
raw_cross_dataset,D_V,D_H,0.2334337606329813,0.3688685716809312
raw_cross_dataset,D_V,D_M,0.5919164703134078,0.7646292893407355
raw_cross_dataset,D_H,D_M,0.44742060138837647,0.384239384628437
raw_cross_dataset,D_U_R,VIF,14.964006293606998,
raw_cross_dataset,D_U_C,VIF,17.739209367909492,
raw_cross_dataset,D_V,VIF,1.625094436812466,
raw_cross_dataset,D_H,VIF,1.3322043139245145,
raw_cross_dataset,D_M,VIF,3.7241913847576593,
within_dataset_centered,D_U_R,D_U_C,0.9284082780185299,0.911211046814521
within_dataset_centered,D_U_R,D_V,0.5386739059436126,0.5522948765983847
within_dataset_centered,D_U_R,D_H,0.5515562389312151,0.5312196071836259
within_dataset_centered,D_U_R,D_M,0.7813879139380434,0.7326941710211564
within_dataset_centered,D_U_C,D_V,0.49600910195121,0.4864929428594423
within_dataset_centered,D_U_C,D_H,0.5207843428319415,0.4887260532556853
within_dataset_centered,D_U_C,D_M,0.8315907797561679,0.7975116123217586
within_dataset_centered,D_V,D_H,0.342512795059423,0.45380204000948055
within_dataset_centered,D_V,D_M,0.6051207139851137,0.4703617897776125
within_dataset_centered,D_H,D_M,0.5607425383923607,0.48423352500266753
within_dataset_centered,D_U_R,VIF,8.096140704157529,
within_dataset_centered,D_U_C,VIF,9.691335195549934,
within_dataset_centered,D_V,VIF,1.6825167392535498,
within_dataset_centered,D_H,VIF,1.5513444946333073,
within_dataset_centered,D_M,VIF,4.156898172001056,
