evaluation,outer_group,regressor,feature_block,n_test,selected_params,mae,rmse,median_absolute_error,r2,P0,P3,P4,delta_04,delta_34
LODO,breast_cancer_wisconsin_diagnostic,HGBR,P0,350,"{""l2_regularization"": 1.0, ""learning_rate"": 0.05, ""max_iter"": 150, ""max_leaf_nodes"": 7}",0.0910328379055074,0.1474746789256352,0.0534580301482537,-0.1909850726877033,0.0910328379055074,0.0988845112344852,0.0876893026919653,0.0033435352135420954,0.011195208542519902
LODO,glass,HGBR,P0,350,"{""l2_regularization"": 0.0, ""learning_rate"": 0.05, ""max_iter"": 150, ""max_leaf_nodes"": 7}",0.0421116218371742,0.0548728111835842,0.0370151848405582,-0.6160187203627157,0.0421116218371742,0.0844480047822226,0.0436407957801225,-0.0015291739429482976,0.0408072090021001
LODO,human_activity_recognition,HGBR,P0,350,"{""l2_regularization"": 1.0, ""learning_rate"": 0.05, ""max_iter"": 150, ""max_leaf_nodes"": 7}",0.0338796671065022,0.0450601103962773,0.0274420522388014,-4.430054431080139,0.0338796671065022,0.0233528270264006,0.0242135508149728,0.009666116291529397,-0.0008607237885722013
LODO,iris,HGBR,P0,350,"{""l2_regularization"": 1.0, ""learning_rate"": 0.05, ""max_iter"": 150, ""max_leaf_nodes"": 7}",0.1161985898216668,0.1493348162048343,0.0938504317183675,-0.1434699255366243,0.1161985898216668,0.1219878029553337,0.1152960949734225,0.0009024948482442979,0.006691707981911196
LODO,letter_recognition,HGBR,P0,350,"{""l2_regularization"": 1.0, ""learning_rate"": 0.05, ""max_iter"": 150, ""max_leaf_nodes"": 7}",0.0247592874453245,0.0413883002674842,0.0166193045367068,-1.8219898841006568,0.0247592874453245,0.0636210043379354,0.0393295366536978,-0.014570249208373302,0.024291467684237594
LODO,madelon,HGBR,P0,350,"{""l2_regularization"": 1.0, ""learning_rate"": 0.05, ""max_iter"": 150, ""max_leaf_nodes"": 7}",0.0193571289701171,0.0233909361036992,0.0188197679272754,-9.015385726435584,0.0193571289701171,0.0750592992643681,0.0541261620953309,-0.0347690331252138,0.020933137169037205
LODO,mice_protein_expression,HGBR,P0,350,"{""l2_regularization"": 0.0, ""learning_rate"": 0.05, ""max_iter"": 150, ""max_leaf_nodes"": 7}",0.0329183412591549,0.0432965006331146,0.0258174903744011,-1.0350872361396637,0.0329183412591549,0.0235256478966395,0.0232418591581649,0.009676482100990001,0.00028378873847459754
LODO,pendigits,HGBR,P0,350,"{""l2_regularization"": 1.0, ""learning_rate"": 0.05, ""max_iter"": 150, ""max_leaf_nodes"": 7}",0.0510202108044748,0.0738096571400279,0.028423455037603,-0.0069476945490587,0.0510202108044748,0.0561651383370121,0.0510456873359664,-2.5476531491597232e-05,0.005119451001045702
LODO,satimage,HGBR,P0,350,"{""l2_regularization"": 1.0, ""learning_rate"": 0.05, ""max_iter"": 150, ""max_leaf_nodes"": 7}",0.0364153262588132,0.0506973342957092,0.023826844560072,-0.1176774374318658,0.0364153262588132,0.0485031727491413,0.0345355592836171,0.0018797669751960955,0.0139676134655242
LODO,sonar,HGBR,P0,350,"{""l2_regularization"": 1.0, ""learning_rate"": 0.05, ""max_iter"": 150, ""max_leaf_nodes"": 7}",0.0382945250933007,0.0592667609128153,0.0293751471808667,-0.6144972660234349,0.0382945250933007,0.0392269700699301,0.0617028552162557,-0.023408330122955,-0.0224758851463256
