dataset_id,outer_fold,condition,n_seeds,mean,variance,minimum,maximum,unique_values
breast_cancer_wisconsin_diagnostic,3,class_prevalence_severe,5,0.056149630226401605,4.81482486096809e-35,0.0561496302264016,0.0561496302264016,1
breast_cancer_wisconsin_diagnostic,3,local_overlap_mild,5,0.1444984964001762,0.0,0.1444984964001762,0.1444984964001762,1
breast_cancer_wisconsin_diagnostic,3,local_overlap_severe,5,0.3782919389829463,0.0,0.3782919389829463,0.3782919389829463,1
breast_cancer_wisconsin_diagnostic,3,location_mild,5,-0.0017095838221857999,4.70197740328915e-38,-0.0017095838221858,-0.0017095838221858,1
breast_cancer_wisconsin_diagnostic,3,location_severe,5,0.026854631348011405,1.2037062152420224e-35,0.0268546313480114,0.0268546313480114,1
breast_cancer_wisconsin_diagnostic,3,mcar_mild,5,0.0006954537736473,0.0,0.0006954537736473,0.0006954537736473,1
breast_cancer_wisconsin_diagnostic,3,mcar_severe,5,0.1199959960622214,0.0,0.1199959960622214,0.1199959960622214,1
breast_cancer_wisconsin_diagnostic,3,measurement_noise_mild,5,0.0,0.0,0.0,0.0,1
breast_cancer_wisconsin_diagnostic,3,measurement_noise_severe,5,0.0,0.0,0.0,0.0,1
breast_cancer_wisconsin_diagnostic,3,outliers_mild,5,0.0,0.0,0.0,0.0,1
breast_cancer_wisconsin_diagnostic,3,outliers_severe,5,0.0302138289170154,0.0,0.0302138289170154,0.0302138289170154,1
breast_cancer_wisconsin_diagnostic,3,scale_mild,5,-0.0006321461521981,0.0,-0.0006321461521981,-0.0006321461521981,1
breast_cancer_wisconsin_diagnostic,3,scale_severe,5,-0.0312979298376671,0.0,-0.0312979298376671,-0.0312979298376671,1
breast_cancer_wisconsin_diagnostic,4,class_prevalence_mild,5,-0.0852892738656819,0.0,-0.0852892738656819,-0.0852892738656819,1
breast_cancer_wisconsin_diagnostic,4,class_prevalence_severe,5,-0.0078401942998432,0.0,-0.0078401942998432,-0.0078401942998432,1
breast_cancer_wisconsin_diagnostic,4,local_overlap_mild,5,0.1993439729676828,0.0,0.1993439729676828,0.1993439729676828,1
breast_cancer_wisconsin_diagnostic,4,local_overlap_severe,5,0.3925494105509194,0.0,0.3925494105509194,0.3925494105509194,1
breast_cancer_wisconsin_diagnostic,4,location_mild,5,-0.0561886476123533,0.0,-0.0561886476123533,-0.0561886476123533,1
breast_cancer_wisconsin_diagnostic,4,location_severe,5,8.043117476219663e-05,0.0,8.043117476219663e-05,8.043117476219663e-05,1
breast_cancer_wisconsin_diagnostic,4,mcar_mild,5,0.1047796287833479,0.0,0.1047796287833479,0.1047796287833479,1
breast_cancer_wisconsin_diagnostic,4,mcar_severe,5,0.3029748102540012,0.0,0.3029748102540012,0.3029748102540012,1
breast_cancer_wisconsin_diagnostic,4,measurement_noise_mild,5,0.0,0.0,0.0,0.0,1
breast_cancer_wisconsin_diagnostic,4,measurement_noise_severe,5,0.0,0.0,0.0,0.0,1
breast_cancer_wisconsin_diagnostic,4,outliers_mild,5,0.027151576779651805,1.2037062152420224e-35,0.0271515767796518,0.0271515767796518,1
breast_cancer_wisconsin_diagnostic,4,outliers_severe,5,0.153510123015593,0.0,0.153510123015593,0.153510123015593,1
breast_cancer_wisconsin_diagnostic,4,scale_mild,5,-0.0277887933771576,0.0,-0.0277887933771576,-0.0277887933771576,1
breast_cancer_wisconsin_diagnostic,4,scale_severe,5,-0.0277566566213804,0.0,-0.0277566566213804,-0.0277566566213804,1
glass,0,class_prevalence_mild,5,-0.025725976655920517,0.0005409207181542017,-0.071825125280122,-0.012197251482579,3
glass,0,class_prevalence_severe,5,0.02390379397019638,0.001464309741641848,-0.0505026705852668,0.0482871792202065,3
glass,0,local_overlap_mild,5,0.0,0.0,0.0,0.0,1
glass,0,local_overlap_severe,5,0.02286229559914928,0.00035453150208542033,0.0,0.0575515878961561,3
glass,0,location_mild,5,-0.029617411247178475,0.00047630236290389406,-0.0473699643988424,0.0,3
glass,0,location_severe,5,-0.028178063771946517,0.001061328446621034,-0.0515176944070654,0.0315407381691709,3
