grouping_level,n_rows,source_converged_count,source_convergence_rate,candidate_converged_count,candidate_convergence_rate,both_converged_count,both_convergence_rate,usable_count,usable_nonconverged_count,dataset_id,outer_fold,condition,severity,seed
dataset_fold,75,75,1.0,75,1.0,75,1.0,75,0,iris,2.0,,,
dataset_fold,75,75,1.0,75,1.0,75,1.0,75,0,iris,3.0,,,
dataset_fold,75,75,1.0,73,0.9733333333333334,73,0.9733333333333334,75,2,iris,4.0,,,
dataset_fold,75,0,0.0,7,0.09333333333333334,0,0.0,75,75,letter_recognition,0.0,,,
dataset_fold,75,0,0.0,3,0.04,0,0.0,75,75,letter_recognition,1.0,,,
dataset_fold,75,0,0.0,7,0.09333333333333334,0,0.0,75,75,letter_recognition,2.0,,,
dataset_fold,75,0,0.0,2,0.02666666666666667,0,0.0,75,75,letter_recognition,3.0,,,
dataset_fold,75,0,0.0,12,0.16,0,0.0,75,75,letter_recognition,4.0,,,
dataset_fold,75,75,1.0,75,1.0,75,1.0,75,0,madelon,0.0,,,
dataset_fold,75,75,1.0,73,0.9733333333333334,73,0.9733333333333334,75,2,madelon,1.0,,,
dataset_fold,75,75,1.0,71,0.9466666666666667,71,0.9466666666666667,75,4,madelon,2.0,,,
dataset_fold,75,75,1.0,75,1.0,75,1.0,75,0,madelon,3.0,,,
dataset_fold,75,75,1.0,68,0.9066666666666666,68,0.9066666666666666,75,7,madelon,4.0,,,
dataset_fold,75,75,1.0,74,0.9866666666666667,74,0.9866666666666667,75,1,mice_protein_expression,0.0,,,
dataset_fold,75,75,1.0,74,0.9866666666666667,74,0.9866666666666667,75,1,mice_protein_expression,1.0,,,
dataset_fold,75,75,1.0,74,0.9866666666666667,74,0.9866666666666667,75,1,mice_protein_expression,2.0,,,
dataset_fold,75,60,0.8,75,1.0,60,0.8,75,15,mice_protein_expression,3.0,,,
dataset_fold,75,60,0.8,75,1.0,60,0.8,75,15,mice_protein_expression,4.0,,,
dataset_fold,75,75,1.0,69,0.92,69,0.92,75,6,pendigits,0.0,,,
dataset_fold,75,75,1.0,67,0.8933333333333333,67,0.8933333333333333,75,8,pendigits,1.0,,,
dataset_fold,75,75,1.0,68,0.9066666666666666,68,0.9066666666666666,75,7,pendigits,2.0,,,
dataset_fold,75,75,1.0,63,0.84,63,0.84,75,12,pendigits,3.0,,,
dataset_fold,75,45,0.6,70,0.9333333333333333,42,0.56,75,33,pendigits,4.0,,,
dataset_fold,75,75,1.0,74,0.9866666666666667,74,0.9866666666666667,75,1,satimage,0.0,,,
dataset_fold,75,75,1.0,73,0.9733333333333334,73,0.9733333333333334,75,2,satimage,1.0,,,
dataset_fold,75,75,1.0,75,1.0,75,1.0,75,0,satimage,2.0,,,
dataset_fold,75,75,1.0,71,0.9466666666666667,71,0.9466666666666667,75,4,satimage,3.0,,,
dataset_fold,75,75,1.0,73,0.9733333333333334,73,0.9733333333333334,75,2,satimage,4.0,,,
dataset_fold,75,75,1.0,75,1.0,75,1.0,75,0,sonar,0.0,,,
dataset_fold,75,75,1.0,75,1.0,75,1.0,75,0,sonar,1.0,,,
dataset_fold,75,75,1.0,75,1.0,75,1.0,75,0,sonar,2.0,,,
dataset_fold,75,75,1.0,75,1.0,75,1.0,75,0,sonar,3.0,,,
dataset_fold,75,60,0.8,74,0.9866666666666667,59,0.7866666666666666,75,16,sonar,4.0,,,
dataset_fold,75,75,1.0,75,1.0,75,1.0,75,0,spambase,0.0,,,
dataset_fold,75,75,1.0,75,1.0,75,1.0,75,0,spambase,1.0,,,
dataset_fold,75,75,1.0,75,1.0,75,1.0,75,0,spambase,2.0,,,
dataset_fold,75,75,1.0,75,1.0,75,1.0,75,0,spambase,3.0,,,
dataset_fold,75,75,1.0,75,1.0,75,1.0,75,0,spambase,4.0,,,
dataset_fold,75,75,1.0,75,1.0,75,1.0,75,0,waveform,0.0,,,
dataset_fold,75,75,1.0,75,1.0,75,1.0,75,0,waveform,1.0,,,
dataset_fold,75,75,1.0,73,0.9733333333333334,73,0.9733333333333334,75,2,waveform,2.0,,,
dataset_fold,75,75,1.0,74,0.9866666666666667,74,0.9866666666666667,75,1,waveform,3.0,,,
dataset_fold,75,75,1.0,75,1.0,75,1.0,75,0,waveform,4.0,,,
dataset_condition,25,25,1.0,25,1.0,25,1.0,25,0,breast_cancer_wisconsin_diagnostic,,class_prevalence_mild,,
dataset_condition,25,25,1.0,25,1.0,25,1.0,25,0,breast_cancer_wisconsin_diagnostic,,class_prevalence_severe,,
dataset_condition,25,25,1.0,25,1.0,25,1.0,25,0,breast_cancer_wisconsin_diagnostic,,clean,,
dataset_condition,25,25,1.0,25,1.0,25,1.0,25,0,breast_cancer_wisconsin_diagnostic,,local_overlap_mild,,
dataset_condition,25,25,1.0,25,1.0,25,1.0,25,0,breast_cancer_wisconsin_diagnostic,,local_overlap_severe,,
dataset_condition,25,25,1.0,25,1.0,25,1.0,25,0,breast_cancer_wisconsin_diagnostic,,location_mild,,
dataset_condition,25,25,1.0,25,1.0,25,1.0,25,0,breast_cancer_wisconsin_diagnostic,,location_severe,,
dataset_condition,25,25,1.0,25,1.0,25,1.0,25,0,breast_cancer_wisconsin_diagnostic,,mcar_mild,,
dataset_condition,25,25,1.0,25,1.0,25,1.0,25,0,breast_cancer_wisconsin_diagnostic,,mcar_severe,,
dataset_condition,25,25,1.0,25,1.0,25,1.0,25,0,breast_cancer_wisconsin_diagnostic,,measurement_noise_mild,,
dataset_condition,25,25,1.0,25,1.0,25,1.0,25,0,breast_cancer_wisconsin_diagnostic,,measurement_noise_severe,,
dataset_condition,25,25,1.0,25,1.0,25,1.0,25,0,breast_cancer_wisconsin_diagnostic,,outliers_mild,,
dataset_condition,25,25,1.0,25,1.0,25,1.0,25,0,breast_cancer_wisconsin_diagnostic,,outliers_severe,,
dataset_condition,25,25,1.0,25,1.0,25,1.0,25,0,breast_cancer_wisconsin_diagnostic,,scale_mild,,
dataset_condition,25,25,1.0,25,1.0,25,1.0,25,0,breast_cancer_wisconsin_diagnostic,,scale_severe,,
dataset_condition,25,21,0.84,24,0.96,20,0.8,25,5,glass,,class_prevalence_mild,,
dataset_condition,25,21,0.84,25,1.0,21,0.84,25,4,glass,,class_prevalence_severe,,
dataset_condition,25,21,0.84,25,1.0,21,0.84,25,4,glass,,clean,,
dataset_condition,25,21,0.84,23,0.92,20,0.8,25,5,glass,,local_overlap_mild,,
dataset_condition,25,21,0.84,25,1.0,21,0.84,25,4,glass,,local_overlap_severe,,
dataset_condition,25,21,0.84,25,1.0,21,0.84,25,4,glass,,location_mild,,
dataset_condition,25,21,0.84,25,1.0,21,0.84,25,4,glass,,location_severe,,
dataset_condition,25,21,0.84,25,1.0,21,0.84,25,4,glass,,mcar_mild,,
dataset_condition,25,21,0.84,25,1.0,21,0.84,25,4,glass,,mcar_severe,,
dataset_condition,25,21,0.84,25,1.0,21,0.84,25,4,glass,,measurement_noise_mild,,
dataset_condition,25,21,0.84,24,0.96,21,0.84,25,4,glass,,measurement_noise_severe,,
dataset_condition,25,21,0.84,25,1.0,21,0.84,25,4,glass,,outliers_mild,,
dataset_condition,25,21,0.84,25,1.0,21,0.84,25,4,glass,,outliers_severe,,
dataset_condition,25,21,0.84,25,1.0,21,0.84,25,4,glass,,scale_mild,,
dataset_condition,25,21,0.84,25,1.0,21,0.84,25,4,glass,,scale_severe,,
dataset_condition,25,23,0.92,23,0.92,21,0.84,25,4,human_activity_recognition,,class_prevalence_mild,,
dataset_condition,25,23,0.92,25,1.0,23,0.92,25,2,human_activity_recognition,,class_prevalence_severe,,
dataset_condition,25,23,0.92,24,0.96,22,0.88,25,3,human_activity_recognition,,clean,,
dataset_condition,25,23,0.92,24,0.96,22,0.88,25,3,human_activity_recognition,,local_overlap_mild,,
dataset_condition,25,23,0.92,24,0.96,22,0.88,25,3,human_activity_recognition,,local_overlap_severe,,
dataset_condition,25,23,0.92,24,0.96,22,0.88,25,3,human_activity_recognition,,location_mild,,
dataset_condition,25,23,0.92,24,0.96,22,0.88,25,3,human_activity_recognition,,location_severe,,
dataset_condition,25,23,0.92,25,1.0,23,0.92,25,2,human_activity_recognition,,mcar_mild,,
dataset_condition,25,23,0.92,24,0.96,22,0.88,25,3,human_activity_recognition,,mcar_severe,,
dataset_condition,25,23,0.92,25,1.0,23,0.92,25,2,human_activity_recognition,,measurement_noise_mild,,
dataset_condition,25,23,0.92,25,1.0,23,0.92,25,2,human_activity_recognition,,measurement_noise_severe,,
dataset_condition,25,23,0.92,25,1.0,23,0.92,25,2,human_activity_recognition,,outliers_mild,,
dataset_condition,25,23,0.92,23,0.92,22,0.88,25,3,human_activity_recognition,,outliers_severe,,
dataset_condition,25,23,0.92,24,0.96,22,0.88,25,3,human_activity_recognition,,scale_mild,,
dataset_condition,25,23,0.92,24,0.96,22,0.88,25,3,human_activity_recognition,,scale_severe,,
dataset_condition,25,24,0.96,25,1.0,24,0.96,25,1,iris,,class_prevalence_mild,,
dataset_condition,25,24,0.96,25,1.0,24,0.96,25,1,iris,,class_prevalence_severe,,
dataset_condition,25,24,0.96,25,1.0,24,0.96,25,1,iris,,clean,,
dataset_condition,25,24,0.96,25,1.0,24,0.96,25,1,iris,,local_overlap_mild,,
dataset_condition,25,24,0.96,23,0.92,22,0.88,25,3,iris,,local_overlap_severe,,
dataset_condition,25,24,0.96,25,1.0,24,0.96,25,1,iris,,location_mild,,
dataset_condition,25,24,0.96,25,1.0,24,0.96,25,1,iris,,location_severe,,
dataset_condition,25,24,0.96,25,1.0,24,0.96,25,1,iris,,mcar_mild,,
dataset_condition,25,24,0.96,25,1.0,24,0.96,25,1,iris,,mcar_severe,,
dataset_condition,25,24,0.96,25,1.0,24,0.96,25,1,iris,,measurement_noise_mild,,
dataset_condition,25,24,0.96,25,1.0,24,0.96,25,1,iris,,measurement_noise_severe,,
dataset_condition,25,24,0.96,25,1.0,24,0.96,25,1,iris,,outliers_mild,,
dataset_condition,25,24,0.96,25,1.0,24,0.96,25,1,iris,,outliers_severe,,
dataset_condition,25,24,0.96,25,1.0,24,0.96,25,1,iris,,scale_mild,,
dataset_condition,25,24,0.96,25,1.0,24,0.96,25,1,iris,,scale_severe,,
dataset_condition,25,0,0.0,4,0.16,0,0.0,25,25,letter_recognition,,class_prevalence_mild,,
dataset_condition,25,0,0.0,6,0.24,0,0.0,25,25,letter_recognition,,class_prevalence_severe,,
dataset_condition,25,0,0.0,1,0.04,0,0.0,25,25,letter_recognition,,clean,,
dataset_condition,25,0,0.0,3,0.12,0,0.0,25,25,letter_recognition,,local_overlap_mild,,
dataset_condition,25,0,0.0,9,0.36,0,0.0,25,25,letter_recognition,,local_overlap_severe,,
dataset_condition,25,0,0.0,1,0.04,0,0.0,25,25,letter_recognition,,location_mild,,
dataset_condition,25,0,0.0,1,0.04,0,0.0,25,25,letter_recognition,,location_severe,,
dataset_condition,25,0,0.0,0,0.0,0,0.0,25,25,letter_recognition,,mcar_mild,,
dataset_condition,25,0,0.0,0,0.0,0,0.0,25,25,letter_recognition,,mcar_severe,,
dataset_condition,25,0,0.0,0,0.0,0,0.0,25,25,letter_recognition,,measurement_noise_mild,,
dataset_condition,25,0,0.0,0,0.0,0,0.0,25,25,letter_recognition,,measurement_noise_severe,,
dataset_condition,25,0,0.0,1,0.04,0,0.0,25,25,letter_recognition,,outliers_mild,,
dataset_condition,25,0,0.0,3,0.12,0,0.0,25,25,letter_recognition,,outliers_severe,,
dataset_condition,25,0,0.0,1,0.04,0,0.0,25,25,letter_recognition,,scale_mild,,
dataset_condition,25,0,0.0,1,0.04,0,0.0,25,25,letter_recognition,,scale_severe,,
dataset_condition,25,25,1.0,17,0.68,17,0.68,25,8,madelon,,class_prevalence_mild,,
dataset_condition,25,25,1.0,22,0.88,22,0.88,25,3,madelon,,class_prevalence_severe,,
dataset_condition,25,25,1.0,25,1.0,25,1.0,25,0,madelon,,clean,,
dataset_condition,25,25,1.0,25,1.0,25,1.0,25,0,madelon,,local_overlap_mild,,
dataset_condition,25,25,1.0,25,1.0,25,1.0,25,0,madelon,,local_overlap_severe,,
dataset_condition,25,25,1.0,25,1.0,25,1.0,25,0,madelon,,location_mild,,
dataset_condition,25,25,1.0,25,1.0,25,1.0,25,0,madelon,,location_severe,,
dataset_condition,25,25,1.0,24,0.96,24,0.96,25,1,madelon,,mcar_mild,,
dataset_condition,25,25,1.0,25,1.0,25,1.0,25,0,madelon,,mcar_severe,,
dataset_condition,25,25,1.0,25,1.0,25,1.0,25,0,madelon,,measurement_noise_mild,,
dataset_condition,25,25,1.0,25,1.0,25,1.0,25,0,madelon,,measurement_noise_severe,,
dataset_condition,25,25,1.0,24,0.96,24,0.96,25,1,madelon,,outliers_mild,,
dataset_condition,25,25,1.0,25,1.0,25,1.0,25,0,madelon,,outliers_severe,,
dataset_condition,25,25,1.0,25,1.0,25,1.0,25,0,madelon,,scale_mild,,
dataset_condition,25,25,1.0,25,1.0,25,1.0,25,0,madelon,,scale_severe,,
dataset_condition,25,23,0.92,25,1.0,23,0.92,25,2,mice_protein_expression,,class_prevalence_mild,,
dataset_condition,25,23,0.92,25,1.0,23,0.92,25,2,mice_protein_expression,,class_prevalence_severe,,
dataset_condition,25,23,0.92,25,1.0,23,0.92,25,2,mice_protein_expression,,clean,,
