evaluation,outer_group,regressor,feature_block,n_test,selected_params,sum_absolute_error,sum_squared_error,sum_observed,sum_observed_squared,mae,rmse,median_absolute_error,r2,replication_arm
LOSFO,measurement_noise,HGBR,P4,600,"{""l2_regularization"": 0.0, ""learning_rate"": 0.05, ""max_iter"": 150, ""max_leaf_nodes"": 7}",14.112823629173615,0.7127202981337828,1.1093054054955327,0.24931980116186048,0.023521372715289358,0.034465448837296526,0.015863875635655996,-1.882369693781321,duplicate_corrected_150_all
LOSFO,outliers,HGBR,P4,600,"{""l2_regularization"": 1.0, ""learning_rate"": 0.05, ""max_iter"": 150, ""max_leaf_nodes"": 7}",20.20097933003,1.5130520664259355,19.97479839243106,1.726474493557994,0.03366829888338333,0.05021706327577535,0.019652617057062484,-0.42540817160265076,duplicate_corrected_150_all
LOSFO,scale,HGBR,P4,600,"{""l2_regularization"": 1.0, ""learning_rate"": 0.05, ""max_iter"": 150, ""max_leaf_nodes"": 7}",15.408752642841375,0.7578834143797318,-3.622085185537635,0.3826158507004681,0.025681254404735624,0.03554066718515875,0.016801372653935616,-1.1008548349687506,duplicate_corrected_150_all
LODO,breast_cancer_wisconsin_diagnostic,HGBR,P0,350,"{""l2_regularization"": 1.0, ""learning_rate"": 0.05, ""max_iter"": 150, ""max_leaf_nodes"": 7}",33.23857674701263,7.2180138523748765,24.79551718695425,7.546388230070681,0.0949673621343218,0.14360674329943937,0.05644510105780484,-0.24668483455800927,fully_corrected_600
LODO,glass,HGBR,P0,350,"{""l2_regularization"": 1.0, ""learning_rate"": 0.05, ""max_iter"": 150, ""max_leaf_nodes"": 7}",13.295354729038298,0.9259539849580349,-2.1507952148775282,0.6455073899146908,0.03798672779725228,0.05143522930993712,0.029364411982814077,-0.4644439871922281,fully_corrected_600
LODO,human_activity_recognition,HGBR,P0,349,"{""l2_regularization"": 1.0, ""learning_rate"": 0.05, ""max_iter"": 150, ""max_leaf_nodes"": 7}",11.594506332331513,0.6835245214003935,2.4108697516040163,0.22372230913297403,0.03322208118146565,0.044255202902656346,0.023039834699994485,-2.3009636695199376,fully_corrected_600
LODO,iris,HGBR,P0,350,"{""l2_regularization"": 1.0, ""learning_rate"": 0.05, ""max_iter"": 150, ""max_leaf_nodes"": 7}",35.68629531277655,7.10001923037099,5.0524634655900345,7.096598107036339,0.10196084375079015,0.14242811951869405,0.06953671863789962,-0.010871324273439509,fully_corrected_600
LODO,letter_recognition,HGBR,P0,296,"{""l2_regularization"": 1.0, ""learning_rate"": 0.05, ""max_iter"": 150, ""max_leaf_nodes"": 7}",4.45606579765019,0.10327525075463287,3.440029388405006,0.1424060653959364,0.015054276343412804,0.01867894199817155,0.013394668121164802,-0.008281476459033543,fully_corrected_600
LODO,madelon,HGBR,P0,350,"{""l2_regularization"": 1.0, ""learning_rate"": 0.05, ""max_iter"": 150, ""max_leaf_nodes"": 7}",6.4832594490119675,0.19376925294140163,1.180246735970682,0.02543812325876131,0.018523598425748477,0.023529267667639665,0.016373952247966707,-8.030090629578696,fully_corrected_600
LODO,mice_protein_expression,HGBR,P0,350,"{""l2_regularization"": 1.0, ""learning_rate"": 0.05, ""max_iter"": 150, ""max_leaf_nodes"": 7}",7.604364148261469,0.3261873505082625,1.4730447006798033,0.20220494714804643,0.021726754709318483,0.030528083113668236,0.015071447167354365,-0.6641757918147302,fully_corrected_600
LODO,pendigits,HGBR,P0,350,"{""l2_regularization"": 1.0, ""learning_rate"": 0.05, ""max_iter"": 150, ""max_leaf_nodes"": 7}",17.953341414234522,1.8494065365695698,8.03474265761787,2.1078684154484226,0.05129526118352721,0.07269125584217855,0.029227497012280453,0.0384799302150749,fully_corrected_600
LODO,satimage,HGBR,P0,350,"{""l2_regularization"": 1.0, ""learning_rate"": 0.05, ""max_iter"": 150, ""max_leaf_nodes"": 7}",13.169374150690079,1.0448453500836163,12.417447334371666,1.30536511783394,0.03762678328768594,0.05463764662584153,0.01977986020573684,-0.20817391907023963,fully_corrected_600
LODO,sonar,HGBR,P0,350,"{""l2_regularization"": 1.0, ""learning_rate"": 0.05, ""max_iter"": 150, ""max_leaf_nodes"": 7}",10.138578602775773,0.8833780197455146,-3.0232963202821077,0.6857004758673672,0.02896736743650221,0.05023880173006617,0.02037965178377559,-0.3392931202621736,fully_corrected_600
LODO,spambase,HGBR,P0,350,"{""l2_regularization"": 1.0, ""learning_rate"": 0.05, ""max_iter"": 150, ""max_leaf_nodes"": 7}",14.848074753635368,1.6267910698792143,6.705295519242272,1.474987699041809,0.04242307072467248,0.0681760550733847,0.021978731250993165,-0.20813781225313988,fully_corrected_600
LODO,waveform,HGBR,P0,350,"{""l2_regularization"": 1.0, ""learning_rate"": 0.05, ""max_iter"": 150, ""max_leaf_nodes"": 7}",8.772972019444806,0.33797288628827993,0.44455259891158244,0.06296780453922166,0.025065634341270873,0.031074697391390863,0.019783107587684437,-4.415958235621216,fully_corrected_600
