dimension_stratum,n_datasets,p0_mae,p4_mae,delta_mae_p0_minus_p4,D_U_R_mean,D_U_C_mean,D_V_mean,D_H_mean,D_M_mean
low_D,4,0.05852242747716011,0.062328028685802325,-0.0038056012086422134,0.21821917542857144,0.21747300135714284,1.7142690367857143,0.07105865828571427,0.05154445578571428
mid_D,6,0.04552157596041992,0.04718077122562264,-0.001659195265202723,0.19759756099999998,0.1914434316666667,1.2245731552380952,0.04361857100000001,0.05345219247619047
high_D,2,0.026618398038309732,0.039169856455151864,-0.012551458416842132,0.2511187911428571,0.253150326,0.8786906339999999,0.12260213057142857,0.0748079077142857
