D_H,D_M,D_U_C,D_U_C_median,D_U_C_p95,D_U_R,D_U_R_median,D_U_R_p95,D_V,D_V_max,D_V_median,D_X,FPC,K,PE,PE_norm,XB_soft_m2,XB_status,alignment_ambiguous,alignment_best_cost,alignment_global_margin,alignment_permutation,alignment_second_best_cost,candidate_converged,candidate_degenerate,candidate_model_fingerprint,candidate_model_status,condition,current_bank_sha256,dataset_id,entropy_candidate_current,entropy_signed_change,entropy_source_current,mass_candidate_current,mass_source_current,method,mmd_bandwidth_status,mmd_sigma,outer_fold,reference_bank_sha256,runtime_alignment,runtime_candidate_fit,runtime_mmd,runtime_signals,runtime_source_fit,runtime_total,seed,shift_replay_sha256,shift_spec_file_sha256,shift_spec_sha256,signal_protocol_sha256,signal_record_sha256,silhouette,silhouette_status,source_converged,source_degenerate,source_model_fingerprint,source_model_status,usable
0.0035284,0.0002038,0.0167948,0.0,0.052468,0.0173036,0.0,0.0559377,0.1792068,0.2737902,0.1792068,0.0058473,0.9771819,2,0.0389125,0.0561389,0.555713,SUCCESS,False,0.2419925,2.2480893,"[1, 0]",2.4900818,True,False,fc895a18abec011d9784fedae9e741f7a8ca6a518616d7001d379aa04583a638,SUCCESS,clean,0f4e21a2fb25e5370691a3ef6a7d9ee226e33d4121cbf1dc6244ba5043e8bb57,breast_cancer_wisconsin_diagnostic,0.0596673,0.0035284,0.0561389,"[0.6581797, 0.3418203]","[0.6421489, 0.3578511]",fcm_adaptive,SUCCESS,6.3864361,0,8238be658b13bf2e82ed189da8d2011306aead144749f7102634b6ca2a19ae45,0.00161,0.07143,0.01295,0.00264,0.0,0.09757,1,,95a5876fe4c6bdc35da5bd3543aacf820549f198c64f6730b8b09e1c645966f2,4140d02a72147a5f99e8f748727775d1645e7d84a824e73fe929bce3567792e5,70a97778df2ac411a42e111020d43fa56d09336f20c4bc65929e97cae04054c5,3819ed9193c4500d9f01b8074232060abab5b85b90946fadc66f251ad446a6a7,0.3165276,SUCCESS,True,False,50990ddd1107464e2d13bf6fa76cd0d46d4cd668e0f1d0d264d4eafd805a1050,SUCCESS,True
0.0035274,0.0002035,0.0167912,0.0,0.0524455,0.0173011,0.0,0.0559148,0.1791999,0.2737857,0.1791999,0.0058473,0.9771817,2,0.0389128,0.0561394,0.5557123,SUCCESS,False,0.2419805,2.2480929,"[1, 0]",2.4900733,True,False,e6039f844335d4cf8343cc9b971911781a2b64987f7fc63cdbe3e4c5b7cd0b01,SUCCESS,clean,0f4e21a2fb25e5370691a3ef6a7d9ee226e33d4121cbf1dc6244ba5043e8bb57,breast_cancer_wisconsin_diagnostic,0.0596668,0.0035274,0.0561394,"[0.6581709, 0.3418291]","[0.6421493, 0.3578507]",fcm_adaptive,SUCCESS,6.3864361,0,8238be658b13bf2e82ed189da8d2011306aead144749f7102634b6ca2a19ae45,0.00155,0.05869,0.0,0.00304,0.0,0.07868,2,,95a5876fe4c6bdc35da5bd3543aacf820549f198c64f6730b8b09e1c645966f2,4140d02a72147a5f99e8f748727775d1645e7d84a824e73fe929bce3567792e5,70a97778df2ac411a42e111020d43fa56d09336f20c4bc65929e97cae04054c5,3e3a4ecd1cfc7b70d4ac12f045fd8fbc2a6f1bfbff95ae7ffb867eb9fbc3d920,0.3165276,SUCCESS,True,False,ca0f9354d6e9308d114c835ba6db1bdd649310b5d297593abe49b1c53ec7c2e2,SUCCESS,True
0.0035286,0.0002038,0.0167949,0.0,0.0524688,0.0173037,0.0,0.0559391,0.179207,0.27379,0.179207,0.0058473,0.977182,2,0.0389124,0.0561387,0.5557132,SUCCESS,False,0.2419928,2.2480893,"[0, 1]",2.4900821,True,False,0b8d6fc6f7693d92a16fdf8557aae13374925b9a4e7a3ce4b0702118e1b310a1,SUCCESS,clean,0f4e21a2fb25e5370691a3ef6a7d9ee226e33d4121cbf1dc6244ba5043e8bb57,breast_cancer_wisconsin_diagnostic,0.0596673,0.0035286,0.0561387,"[0.6581799, 0.3418201]","[0.6421487, 0.3578513]",fcm_adaptive,SUCCESS,6.3864361,0,8238be658b13bf2e82ed189da8d2011306aead144749f7102634b6ca2a19ae45,0.00136,0.08176,0.0,0.00229,0.0,0.10203,3,,95a5876fe4c6bdc35da5bd3543aacf820549f198c64f6730b8b09e1c645966f2,4140d02a72147a5f99e8f748727775d1645e7d84a824e73fe929bce3567792e5,70a97778df2ac411a42e111020d43fa56d09336f20c4bc65929e97cae04054c5,0f48a88f9425c5c4cbedd8016058575009956453123b28a6a26df2654778bdaa,0.3165276,SUCCESS,True,False,7a6ac0ae980f2eb22d477da6e0c3274e36d6fa0df450376870e991b511af2d15,SUCCESS,True
0.0035281,0.0002038,0.0167949,0.0,0.0524679,0.0173036,0.0,0.0559366,0.1792069,0.2737907,0.1792069,0.0058473,0.9771818,2,0.0389127,0.0561392,0.5557126,SUCCESS,False,0.2419928,2.248089,"[0, 1]",2.4900818,True,False,517ed1c0f862f3fee60613aae5bc646e21a1779e52e048574aa99236344a84d2,SUCCESS,clean,0f4e21a2fb25e5370691a3ef6a7d9ee226e33d4121cbf1dc6244ba5043e8bb57,breast_cancer_wisconsin_diagnostic,0.0596673,0.0035281,0.0561392,"[0.6581798, 0.3418202]","[0.6421491, 0.3578509]",fcm_adaptive,SUCCESS,6.3864361,0,8238be658b13bf2e82ed189da8d2011306aead144749f7102634b6ca2a19ae45,0.00427,0.07086,0.0,0.00504,0.0,0.11186,4,,95a5876fe4c6bdc35da5bd3543aacf820549f198c64f6730b8b09e1c645966f2,4140d02a72147a5f99e8f748727775d1645e7d84a824e73fe929bce3567792e5,70a97778df2ac411a42e111020d43fa56d09336f20c4bc65929e97cae04054c5,615ec6bdb50339fc6666b5e6b065073de5a3b16cd69d1f97b125c9f4cb1d89c7,0.3165276,SUCCESS,True,False,2595619b87df2f944c3730374321dc102b3c3bd7183bdfbe976e58f651ef44a8,SUCCESS,True
0.0035281,0.0002038,0.0167947,0.0,0.0524668,0.0173035,0.0,0.0559356,0.1792066,0.2737905,0.1792066,0.0058473,0.9771817,2,0.0389127,0.0561392,0.5557125,SUCCESS,False,0.2419922,2.2480892,"[0, 1]",2.4900814,True,False,789aeb8af07ab3fefe7ce2f6679d24c51a125c7d0c7c803c50afbbddee706fee,SUCCESS,clean,0f4e21a2fb25e5370691a3ef6a7d9ee226e33d4121cbf1dc6244ba5043e8bb57,breast_cancer_wisconsin_diagnostic,0.0596673,0.0035281,0.0561392,"[0.6581794, 0.3418206]","[0.6421491, 0.3578509]",fcm_adaptive,SUCCESS,6.3864361,0,8238be658b13bf2e82ed189da8d2011306aead144749f7102634b6ca2a19ae45,0.003,0.08771,0.0,0.00479,0.0,0.10952,5,,95a5876fe4c6bdc35da5bd3543aacf820549f198c64f6730b8b09e1c645966f2,4140d02a72147a5f99e8f748727775d1645e7d84a824e73fe929bce3567792e5,70a97778df2ac411a42e111020d43fa56d09336f20c4bc65929e97cae04054c5,c623bcc053b80c1a1358b25eec02656443b7884a0e07be00cfbec77ad7f3b620,0.3165276,SUCCESS,True,False,a20f840b95d1c61c7426e75c0d974a37d8fdaaa957d083a63202e509433ac3f7,SUCCESS,True
0.0268972,0.002002,0.0377554,0.0,0.2658638,0.0346619,0.0,0.241977,0.2315139,0.2935604,0.2315139,0.0053015,0.9694984,2,0.0479749,0.0692131,0.5373939,SUCCESS,False,0.3365563,2.1577194,"[1, 0]",2.4942757,True,False,99596911081745e792911070f284cafcb0215de5ae6bb3e963a377bdeb3727e1,SUCCESS,local_overlap_mild,eb51d02a7c92083d6c0d528548cc053ea058868c029d52a76c55809ca4c4a2f8,breast_cancer_wisconsin_diagnostic,0.0423159,-0.0268972,0.0692131,"[0.6989665, 0.3010335]","[0.6496063, 0.3503937]",fcm_adaptive,SUCCESS,6.3864361,0,8238be658b13bf2e82ed189da8d2011306aead144749f7102634b6ca2a19ae45,0.00093,0.01464,0.00252,0.00182,0.0,0.03227,1,a59d9239e8021cbc84bb5302e34363f8f84f056ddd7f4decf05d6d43088b31de,abc102da68c412230d9b91178bb8b9fc8803ae937da0ea8b0a4af617bf92dc4b,27b14476617cfe97e17570f323c55259261587c5e1f173d3c5485837da02e2fb,70a97778df2ac411a42e111020d43fa56d09336f20c4bc65929e97cae04054c5,9df37fdbeeec595c7a7b245e0f00bd33c535fc347a5cbd64fc612f97450d2821,0.3076333,SUCCESS,True,False,50990ddd1107464e2d13bf6fa76cd0d46d4cd668e0f1d0d264d4eafd805a1050,SUCCESS,True
0.0268976,0.002002,0.0377549,0.0,0.2658532,0.0346617,0.0,0.2419723,0.2315134,0.2935606,0.2315134,0.0053015,0.9694982,2,0.0479751,0.0692134,0.5373933,SUCCESS,False,0.3365554,2.1577197,"[1, 0]",2.4942752,True,False,20e964d22ec8ef49f229605f590a21ee5daf8ff8e63d9d758a445080e1025258,SUCCESS,local_overlap_mild,eb51d02a7c92083d6c0d528548cc053ea058868c029d52a76c55809ca4c4a2f8,breast_cancer_wisconsin_diagnostic,0.0423158,-0.0268976,0.0692134,"[0.6989663, 0.3010337]","[0.6496069, 0.3503931]",fcm_adaptive,SUCCESS,6.3864361,0,8238be658b13bf2e82ed189da8d2011306aead144749f7102634b6ca2a19ae45,0.0011,0.01771,0.0,0.0018,0.0,0.02757,2,a59d9239e8021cbc84bb5302e34363f8f84f056ddd7f4decf05d6d43088b31de,abc102da68c412230d9b91178bb8b9fc8803ae937da0ea8b0a4af617bf92dc4b,27b14476617cfe97e17570f323c55259261587c5e1f173d3c5485837da02e2fb,70a97778df2ac411a42e111020d43fa56d09336f20c4bc65929e97cae04054c5,f04cfb7cde306b590a389fd9f09bda56197da66ebb7ecc4d527c1709ac9cf7bb,0.3076333,SUCCESS,True,False,ca0f9354d6e9308d114c835ba6db1bdd649310b5d297593abe49b1c53ec7c2e2,SUCCESS,True
0.0268966,0.0020022,0.0377564,0.0,0.2658687,0.0346627,0.0,0.2419791,0.2315159,0.2935613,0.2315159,0.0053015,0.9694985,2,0.0479748,0.069213,0.5373941,SUCCESS,False,0.3365596,2.1577181,"[1, 0]",2.4942777,True,False,945b1eb8615fbe6304f69bfd7f06de8ddc5b0f9ace1054f2d602ea81ededef7d,SUCCESS,local_overlap_mild,eb51d02a7c92083d6c0d528548cc053ea058868c029d52a76c55809ca4c4a2f8,breast_cancer_wisconsin_diagnostic,0.0423164,-0.0268966,0.069213,"[0.6989677, 0.3010323]","[0.649606, 0.350394]",fcm_adaptive,SUCCESS,6.3864361,0,8238be658b13bf2e82ed189da8d2011306aead144749f7102634b6ca2a19ae45,0.0008,0.02167,0.0,0.00206,0.0,0.03239,3,a59d9239e8021cbc84bb5302e34363f8f84f056ddd7f4decf05d6d43088b31de,abc102da68c412230d9b91178bb8b9fc8803ae937da0ea8b0a4af617bf92dc4b,27b14476617cfe97e17570f323c55259261587c5e1f173d3c5485837da02e2fb,70a97778df2ac411a42e111020d43fa56d09336f20c4bc65929e97cae04054c5,b8e54aa2554c463aec4e3018158043319fd72d39e065ae437b8ff87be07addd5,0.3076333,SUCCESS,True,False,7a6ac0ae980f2eb22d477da6e0c3274e36d6fa0df450376870e991b511af2d15,SUCCESS,True
0.026897,0.0020021,0.0377558,0.0,0.2658576,0.0346625,0.0,0.241974,0.2315154,0.2935616,0.2315154,0.0053015,0.9694983,2,0.047975,0.0692133,0.5373935,SUCCESS,False,0.3365589,2.1577183,"[1, 0]",2.4942772,True,False,c6a5308c63c71a8beccac7f8f2fb6c1450ca9cf9126f50d374238bfd0fb303d7,SUCCESS,local_overlap_mild,eb51d02a7c92083d6c0d528548cc053ea058868c029d52a76c55809ca4c4a2f8,breast_cancer_wisconsin_diagnostic,0.0423163,-0.026897,0.0692133,"[0.6989676, 0.3010324]","[0.6496067, 0.3503933]",fcm_adaptive,SUCCESS,6.3864361,0,8238be658b13bf2e82ed189da8d2011306aead144749f7102634b6ca2a19ae45,0.00105,0.01777,0.0,0.00288,0.0,0.03004,4,a59d9239e8021cbc84bb5302e34363f8f84f056ddd7f4decf05d6d43088b31de,abc102da68c412230d9b91178bb8b9fc8803ae937da0ea8b0a4af617bf92dc4b,27b14476617cfe97e17570f323c55259261587c5e1f173d3c5485837da02e2fb,70a97778df2ac411a42e111020d43fa56d09336f20c4bc65929e97cae04054c5,63f3b884b4242241267145608613156ecefc342f251cdc2c90beb943892467e2,0.3076333,SUCCESS,True,False,2595619b87df2f944c3730374321dc102b3c3bd7183bdfbe976e58f651ef44a8,SUCCESS,True
0.026897,0.0020021,0.0377558,0.0,0.2658575,0.0346625,0.0,0.241974,0.2315154,0.2935616,0.2315154,0.0053015,0.9694983,2,0.047975,0.0692133,0.5373935,SUCCESS,False,0.3365589,2.1577183,"[0, 1]",2.4942772,True,False,860c28214ff2b8def3a29c244d87aee8bbe447053b608afcb002031dfe5cbefd,SUCCESS,local_overlap_mild,eb51d02a7c92083d6c0d528548cc053ea058868c029d52a76c55809ca4c4a2f8,breast_cancer_wisconsin_diagnostic,0.0423163,-0.026897,0.0692133,"[0.6989676, 0.3010324]","[0.6496067, 0.3503933]",fcm_adaptive,SUCCESS,6.3864361,0,8238be658b13bf2e82ed189da8d2011306aead144749f7102634b6ca2a19ae45,0.0016,0.0235,0.0,0.00237,0.0,0.03545,5,a59d9239e8021cbc84bb5302e34363f8f84f056ddd7f4decf05d6d43088b31de,abc102da68c412230d9b91178bb8b9fc8803ae937da0ea8b0a4af617bf92dc4b,27b14476617cfe97e17570f323c55259261587c5e1f173d3c5485837da02e2fb,70a97778df2ac411a42e111020d43fa56d09336f20c4bc65929e97cae04054c5,9e3360470a964b36305a3a865f609198f5830f6b44ed5aff9ec1c97b55b1e91c,0.3076333,SUCCESS,True,False,a20f840b95d1c61c7426e75c0d974a37d8fdaaa957d083a63202e509433ac3f7,SUCCESS,True
