feature_block,hgbr_mae,ridge_mae,mae_diff_ridge_minus_hgbr,ridge_rmse,ridge_r2
P0,0.04670466347898161,0.04267093986550853,-0.004033723613473081,0.07360002858212329,-0.014281974002230413
P1,0.058987858569036655,0.04363791003907394,-0.015349948529962715,0.07434494308602839,-0.03491720716927138
P2,0.04838558173011527,0.04425099302335648,-0.004134588706758792,0.07447744985670707,-0.0386096101636455
P3,0.06392587674262015,0.04382734040193041,-0.02009853634068974,0.07417979347146142,-0.030324390644962618
P4,0.050894704583937404,0.04373074798082345,-0.007163956603113954,0.07403854494070126,-0.026404367595782574
P5,0.06199097167776173,0.04394460615837039,-0.018046365519391337,0.07423060840662352,-0.031736467901234855
