variant,mae,mae_p4,delta_mae_ablation_minus_p4,rmse
P4_minus_D_U_R,0.05062730505797071,0.050894704583937404,-0.0002673995259666953,0.079940063463921
P4_minus_D_U_C,0.050798792075947855,0.050894704583937404,-9.591250798954981e-05,0.07994626748856928
P4_minus_D_V,0.050175522459159946,0.050894704583937404,-0.000719182124777458,0.07918623441270302
P4_minus_D_H,0.04739320597953725,0.050894704583937404,-0.0035014986044001536,0.07637615890266146
P4_minus_D_M,0.05074934590817864,0.050894704583937404,-0.0001453586757587666,0.07979745638140043
