n_units,sample_mean,sample_median,mean_ci_lower,mean_ci_upper,median_ci_lower,median_ci_upper,comparison
12,-0.004190041104955782,-0.00019196312269491658,-0.0118544034051598,0.002436548707505495,-0.008049711575660801,0.0026116510943691024,lodo_delta_04
12,0.013031172158682748,0.010148151738773125,0.002950967679446092,0.02330558734454633,0.00270161986976015,0.022612302426637396,lodo_delta_34
7,0.0015734133975765854,0.0009792220450518252,-0.000677542594678635,0.003899814920841501,-0.0010631031775540783,0.004930398248417095,losfo_delta_04
7,-0.0029418979866787875,-0.0048278264526660335,-0.006420026767533195,0.000718130764352585,-0.007467400856099288,0.0012163964480271933,losfo_delta_34
