shift_family,mae_P0,mae_P1,mae_P2,mae_P3,mae_P4,mae_P5
location,0.038216393307606955,0.0333913685374759,0.03890216937143322,0.03369187544283142,0.04115927629893071,0.0337000002955491
scale,0.038519039337060974,0.03119610460194312,0.031917102342571675,0.028760814635977846,0.03358864108864388,0.027640751473302867
mcar,0.045250541363203355,0.03780191102595107,0.045552070630487156,0.03708238778690276,0.04601120766789738,0.04041185476498166
outliers,0.03646476575886737,0.036904372767107854,0.03422891710323856,0.03874426538444864,0.037527868936421446,0.03732516617906446
measurement_noise,0.039358656590359475,0.02712372597392985,0.021492415790882825,0.0389242934101617,0.033651428154197284,0.033660170961563644
class_prevalence,0.06846247439860766,0.0640698623644385,0.06475550198020513,0.06133760148925968,0.06748325235355583,0.060458427349979686
local_overlap,0.06842978864056493,0.06362291698280335,0.06409508199254788,0.06455324155690105,0.06426609111358808,0.06497340758845346
