shift_family,mae_P0,mae_P3,mae_P4,delta_04,delta_34
location,0.038216393307606955,0.03369187544283142,0.04115927629893071,-0.002942882991323753,-0.007467400856099288
scale,0.038519039337060974,0.028760814635977846,0.03358864108864388,0.004930398248417095,-0.0048278264526660335
mcar,0.045250541363203355,0.03708238778690276,0.04601120766789738,-0.0007606663046940271,-0.008928819880994622
outliers,0.03646476575886737,0.03874426538444864,0.037527868936421446,-0.0010631031775540783,0.0012163964480271933
measurement_noise,0.039358656590359475,0.0389242934101617,0.033651428154197284,0.005707228436162191,0.005272865255964418
class_prevalence,0.06846247439860766,0.06133760148925968,0.06748325235355583,0.0009792220450518252,-0.006145650864296151
local_overlap,0.06842978864056493,0.06455324155690105,0.06426609111358808,0.004163697526976845,0.00028715044331296957
