shift_family,mae_P0,mae_P1,mae_P2,mae_P3,mae_P4,mae_P5
location,0.038617856997111975,0.031933519050352785,0.03976778351336776,0.03416390308152983,0.042109306103168605,0.033412751517366855
scale,0.03746621360042583,0.030712737927493,0.03128438219455737,0.027740346179694425,0.03191570274474152,0.025828692227102865
mcar,0.04514557162811509,0.03697231744261188,0.043793434095438795,0.03643916989943968,0.04588785869002077,0.03995360010679897
outliers,0.035479685364695424,0.03573099665392355,0.036041085028779944,0.038652727086797,0.03765783983898965,0.03621285363285505
measurement_noise,0.03115430140153111,0.02386915139385282,0.019172494826377413,0.02856852520117913,0.027260511439009216,0.024215693859254168
class_prevalence,0.06839138137069031,0.06091067325251876,0.06470234813787885,0.0656809225934448,0.06587054841834021,0.05916689839580009
local_overlap,0.0683671182495756,0.06602604276644632,0.0650105188533738,0.06571225139737202,0.06456014596037317,0.0642174942238225
