variant,mae,mae_p0,delta_mae_p0_minus_incremental,rmse
DX_plus_D_U_R,0.04751541265317045,0.04670466347898161,-0.0008107491741888365,0.07797731271868519
DX_plus_D_U_C,0.047674663653903104,0.04670466347898161,-0.0009700001749214926,0.07752579949481272
DX_plus_D_V,0.04573090853504885,0.04670466347898161,0.0009737549439327586,0.07675047603966148
DX_plus_D_H,0.05107993943386326,0.04670466347898161,-0.004375275954881651,0.08018169843182912
DX_plus_D_M,0.047365753857985506,0.04670466347898161,-0.0006610903790038938,0.07787778694245577
